,Country,Skill,Year,Rank,tier
177,France,Perl/Python/Ruby,2015,13.0,tier_2
178,France,Statistical Analysis and Data Mining,2015,2.0,tier_2
179,France,User Interface Design,2015,7.0,tier_1
180,France,Web Architecture and Development Framework,2015,22.0,tier_1
181,Germany,Business Intelligence,2015,25.0,tier_1
182,Germany,Cloud and Distributed Computing,2015,1.0,tier_1
183,Germany,Data Engineering and Data Warehousing,2015,9.0,tier_3
184,Germany,Data Presentation,2015,23.0,tier_1
185,Germany,Database Management and Software,2015,7.0,tier_3
186,Germany,Perl/Python/Ruby,2015,20.0,tier_2
187,Germany,Statistical Analysis and Data Mining,2015,4.0,tier_2
188,Germany,User Interface Design,2015,16.0,tier_1
189,Germany,Web Architecture and Development Framework,2015,13.0,tier_1
190,Global,Algorithm Design,2015,12.0,tier_2
191,Global,Business Intelligence,2015,18.0,tier_1
192,Global,Cloud and Distributed Computing,2015,1.0,tier_1
193,Global,Data Engineering and Data Warehousing,2015,11.0,tier_3
194,Global,Data Presentation,2015,26.0,tier_1
195,Global,Database Management and Software,2015,21.0,tier_3
196,Global,Perl/Python/Ruby,2015,13.0,tier_2
197,Global,Statistical Analysis and Data Mining,2015,2.0,tier_2
198,Global,Storage Systems and Management,2015,8.0,tier_3
199,Global,User Interface Design,2015,10.0,tier_1
200,Global,Web Architecture and Development Framework,2015,9.0,tier_1
201,India,Algorithm Design,2015,5.0,tier_2
202,India,Business Intelligence,2015,26.0,tier_1
203,India,Cloud and Distributed Computing,2015,1.0,tier_1
204,India,Data Engineering and Data Warehousing,2015,21.0,tier_3
205,India,Data Presentation,2015,13.0,tier_1
206,India,Perl/Python/Ruby,2015,9.0,tier_2
207,India,Statistical Analysis and Data Mining,2015,2.0,tier_2
208,India,Storage Systems and Management,2015,3.0,tier_3
209,India,User Interface Design,2015,4.0,tier_1
210,India,Web Architecture and Development Framework,2015,8.0,tier_1
211,Ireland,Algorithm Design,2015,13.0,tier_2
212,Ireland,Business Intelligence,2015,24.0,tier_1
213,Ireland,Cloud and Distributed Computing,2015,1.0,tier_1
214,Ireland,Data Engineering and Data Warehousing,2015,7.0,tier_3
215,Ireland,Data Presentation,2015,12.0,tier_1
216,Ireland,Database Management and Software,2015,23.0,tier_3
217,Ireland,Perl/Python/Ruby,2015,17.0,tier_2
218,Ireland,Statistical Analysis and Data Mining,2015,2.0,tier_2
219,Ireland,User Interface Design,2015,18.0,tier_1
220,Ireland,Web Architecture and Development Framework,2015,6.0,tier_1
221,Netherlands,Algorithm Design,2015,21.0,tier_2
222,Netherlands,Business Intelligence,2015,24.0,tier_1
223,Netherlands,Data Engineering and Data Warehousing,2015,3.0,tier_3
224,Netherlands,Data Presentation,2015,17.0,tier_1
225,Netherlands,Database Management and Software,2015,20.0,tier_3
226,Netherlands,Perl/Python/Ruby,2015,16.0,tier_2
227,Netherlands,Statistical Analysis and Data Mining,2015,1.0,tier_2
228,Netherlands,Storage Systems and Management,2015,12.0,tier_3
229,Netherlands,Web Architecture and Development Framework,2015,15.0,tier_1
230,Singapore,Algorithm Design,2015,8.0,tier_2
231,Singapore,Cloud and Distributed Computing,2015,1.0,tier_1
232,Singapore,Data Engineering and Data Warehousing,2015,21.0,tier_3
233,Singapore,Perl/Python/Ruby,2015,13.0,tier_2
234,Singapore,Statistical Analysis and Data Mining,2015,3.0,tier_2
235,Singapore,Storage Systems and Management,2015,11.0,tier_3
236,Singapore,User Interface Design,2015,18.0,tier_1
237,Singapore,Web Architecture and Development Framework,2015,22.0,tier_1
238,South Africa,Business Intelligence,2015,15.0,tier_1
239,South Africa,Data Engineering and Data Warehousing,2015,16.0,tier_3
240,South Africa,Database Management and Software,2015,17.0,tier_3
241,South Africa,Perl/Python/Ruby,2015,7.0,tier_2
242,South Africa,Statistical Analysis and Data Mining,2015,1.0,tier_2
243,South Africa,Storage Systems and Management,2015,6.0,tier_3
244,South Africa,User Interface Design,2015,10.0,tier_1
245,South Africa,Web Architecture and Development Framework,2015,8.0,tier_1
246,United Arab Emirates,Algorithm Design,2015,3.0,tier_2
247,United Arab Emirates,Data Engineering and Data Warehousing,2015,25.0,tier_3
248,United Arab Emirates,Database and Direct Marketing,2015,26.0,tier_3
249,United Arab Emirates,Statistical Analysis and Data Mining,2015,1.0,tier_2
250,United Arab Emirates,Storage Systems and Management,2015,10.0,tier_3
251,United Arab Emirates,User Interface Design,2015,9.0,tier_1
252,United Arab Emirates,Web Architecture and Development Framework,2015,6.0,tier_1
253,United Kingdom,Algorithm Design,2015,10.0,tier_2
254,United Kingdom,Business Intelligence,2015,22.0,tier_1
255,United Kingdom,Data Engineering and Data Warehousing,2015,9.0,tier_3
256,United Kingdom,Data Presentation,2015,7.0,tier_1
257,United Kingdom,Database Management and Software,2015,16.0,tier_3
258,United Kingdom,Perl/Python/Ruby,2015,12.0,tier_2
259,United Kingdom,Statistical Analysis and Data Mining,2015,1.0,tier_2
260,United Kingdom,Storage Systems and Management,2015,11.0,tier_3
261,United Kingdom,User Interface Design,2015,19.0,tier_1
262,United Kingdom,Web Architecture and Development Framework,2015,3.0,tier_1
263,United States,Algorithm Design,2015,8.0,tier_2
264,United States,Business Intelligence,2015,23.0,tier_1
265,United States,Cloud and Distributed Computing,2015,1.0,tier_1
266,United States,Data Engineering and Data Warehousing,2015,15.0,tier_3
267,United States,Perl/Python/Ruby,2015,13.0,tier_2
268,United States,Statistical Analysis and Data Mining,2015,2.0,tier_2
269,United States,Storage Systems and Management,2015,6.0,tier_3
270,United States,User Interface Design,2015,7.0,tier_1
271,United States,Web Architecture and Development Framework,2015,10.0,tier_1
272,Australia,Algorithm Design,2016,9.0,tier_2
273,Australia,Business Intelligence,2016,26.0,tier_1
274,Australia,Data Engineering and Data Warehousing,2016,26.0,tier_3
275,Australia,Database Management and Software,2016,26.0,tier_3
276,Australia,Perl/Python/Ruby,2016,26.0,tier_2
277,Australia,Statistical Analysis and Data Mining,2016,1.0,tier_2
278,Australia,Storage Systems and Management,2016,26.0,tier_3
279,Australia,User Interface Design,2016,7.0,tier_1
280,Australia,Web Architecture and Development Framework,2016,8.0,tier_1
281,Brazil,Business Intelligence,2016,26.0,tier_1
282,Brazil,Data Engineering and Data Warehousing,2016,26.0,tier_3
283,Brazil,Database Management and Software,2016,26.0,tier_3
284,Brazil,Perl/Python/Ruby,2016,26.0,tier_2
285,Brazil,Statistical Analysis and Data Mining,2016,1.0,tier_2
286,Brazil,Storage Systems and Management,2016,5.0,tier_3
287,Brazil,User Interface Design,2016,9.0,tier_1
288,Brazil,Web Architecture and Development Framework,2016,2.0,tier_1
289,Canada,Algorithm Design,2016,26.0,tier_2
290,Canada,Business Intelligence,2016,26.0,tier_1
291,Canada,Data Engineering and Data Warehousing,2016,6.0,tier_3
292,Canada,Data Presentation,2016,26.0,tier_1
293,Canada,Perl/Python/Ruby,2016,26.0,tier_2
294,Canada,Statistical Analysis and Data Mining,2016,1.0,tier_2
295,Canada,Storage Systems and Management,2016,5.0,tier_3
296,Canada,User Interface Design,2016,7.0,tier_1
297,Canada,Web Architecture and Development Framework,2016,9.0,tier_1
298,China,Business Intelligence,2016,8.0,tier_1
299,China,Cloud and Distributed Computing,2016,4.0,tier_1
300,China,Data Engineering and Data Warehousing,2016,26.0,tier_3
301,China,Database Management and Software,2016,26.0,tier_3
302,China,Statistical Analysis and Data Mining,2016,3.0,tier_2
303,China,Storage Systems and Management,2016,10.0,tier_3
304,China,User Interface Design,2016,26.0,tier_1
305,China,Web Architecture and Development Framework,2016,26.0,tier_1
306,France,Algorithm Design,2016,26.0,tier_2
307,France,Business Intelligence,2016,26.0,tier_1
308,France,Cloud and Distributed Computing,2016,1.0,tier_1
309,France,Data Engineering and Data Warehousing,2016,8.0,tier_3
310,France,Data Presentation,2016,26.0,tier_1
311,France,Database Management and Software,2016,26.0,tier_3
312,France,Financial Analysis and Modeling,2016,26.0,tier_2
313,France,Perl/Python/Ruby,2016,26.0,tier_2
314,France,Statistical Analysis and Data Mining,2016,2.0,tier_2
315,France,User Interface Design,2016,6.0,tier_1
316,France,Web Architecture and Development Framework,2016,26.0,tier_1
317,Germany,Business Intelligence,2016,26.0,tier_1
318,Germany,Cloud and Distributed Computing,2016,1.0,tier_1
319,Germany,Data Engineering and Data Warehousing,2016,5.0,tier_3
320,Germany,Data Presentation,2016,26.0,tier_1
321,Germany,Database Management and Software,2016,6.0,tier_3
322,Germany,Perl/Python/Ruby,2016,26.0,tier_2
323,Germany,Statistical Analysis and Data Mining,2016,2.0,tier_2
324,Germany,User Interface Design,2016,26.0,tier_1
325,Germany,Web Architecture and Development Framework,2016,26.0,tier_1
326,Global,Algorithm Design,2016,26.0,tier_2
327,Global,Business Intelligence,2016,26.0,tier_1
328,Global,Cloud and Distributed Computing,2016,1.0,tier_1
329,Global,Data Engineering and Data Warehousing,2016,26.0,tier_3
330,Global,Data Presentation,2016,8.0,tier_1
331,Global,Database Management and Software,2016,26.0,tier_3
332,Global,Perl/Python/Ruby,2016,26.0,tier_2
333,Global,Statistical Analysis and Data Mining,2016,2.0,tier_2
334,Global,Storage Systems and Management,2016,10.0,tier_3
335,Global,User Interface Design,2016,5.0,tier_1
336,Global,Web Architecture and Development Framework,2016,3.0,tier_1
337,India,Algorithm Design,2016,6.0,tier_2
338,India,Business Intelligence,2016,26.0,tier_1
339,India,Cloud and Distributed Computing,2016,1.0,tier_1
340,India,Data Engineering and Data Warehousing,2016,26.0,tier_3
341,India,Data Presentation,2016,26.0,tier_1
342,India,Perl/Python/Ruby,2016,26.0,tier_2
343,India,Statistical Analysis and Data Mining,2016,5.0,tier_2
344,India,Storage Systems and Management,2016,4.0,tier_3
345,India,User Interface Design,2016,2.0,tier_1
346,India,Web Architecture and Development Framework,2016,3.0,tier_1
347,Ireland,Algorithm Design,2016,26.0,tier_2
348,Ireland,Business Intelligence,2016,26.0,tier_1
349,Ireland,Cloud and Distributed Computing,2016,1.0,tier_1
350,Ireland,Data Engineering and Data Warehousing,2016,26.0,tier_3
351,Ireland,Data Presentation,2016,26.0,tier_1
352,Ireland,Database Management and Software,2016,26.0,tier_3
353,Ireland,Perl/Python/Ruby,2016,26.0,tier_2
354,Ireland,Statistical Analysis and Data Mining,2016,2.0,tier_2
355,Ireland,User Interface Design,2016,26.0,tier_1
356,Ireland,Web Architecture and Development Framework,2016,3.0,tier_1
357,Netherlands,Algorithm Design,2016,26.0,tier_2
358,Netherlands,Business Intelligence,2016,26.0,tier_1
359,Netherlands,Data Engineering and Data Warehousing,2016,4.0,tier_3
360,Netherlands,Data Presentation,2016,26.0,tier_1
361,Netherlands,Database Management and Software,2016,26.0,tier_3
362,Netherlands,Perl/Python/Ruby,2016,26.0,tier_2
363,Netherlands,Statistical Analysis and Data Mining,2016,1.0,tier_2
364,Netherlands,Storage Systems and Management,2016,26.0,tier_3
365,Netherlands,Web Architecture and Development Framework,2016,26.0,tier_1
366,Singapore,Algorithm Design,2016,7.0,tier_2
367,Singapore,Cloud and Distributed Computing,2016,1.0,tier_1
368,Singapore,Data Engineering and Data Warehousing,2016,26.0,tier_3
369,Singapore,Perl/Python/Ruby,2016,26.0,tier_2
370,Singapore,Statistical Analysis and Data Mining,2016,4.0,tier_2
371,Singapore,Storage Systems and Management,2016,10.0,tier_3
372,Singapore,User Interface Design,2016,26.0,tier_1
373,Singapore,Web Architecture and Development Framework,2016,26.0,tier_1
374,South Africa,Business Intelligence,2016,26.0,tier_1
375,South Africa,Data Engineering and Data Warehousing,2016,26.0,tier_3
376,South Africa,Database Management and Software,2016,26.0,tier_3
377,South Africa,Perl/Python/Ruby,2016,5.0,tier_2
378,South Africa,Statistical Analysis and Data Mining,2016,1.0,tier_2
379,South Africa,Storage Systems and Management,2016,26.0,tier_3
380,South Africa,User Interface Design,2016,6.0,tier_1
381,South Africa,Web Architecture and Development Framework,2016,8.0,tier_1
382,United Arab Emirates,Algorithm Design,2016,3.0,tier_2
383,United Arab Emirates,Data Engineering and Data Warehousing,2016,26.0,tier_3
384,United Arab Emirates,Database and Direct Marketing,2016,26.0,tier_3
385,United Arab Emirates,Statistical Analysis and Data Mining,2016,1.0,tier_2
386,United Arab Emirates,Storage Systems and Management,2016,26.0,tier_3
387,United Arab Emirates,User Interface Design,2016,7.0,tier_1
388,United Arab Emirates,Web Architecture and Development Framework,2016,4.0,tier_1
389,United Kingdom,Algorithm Design,2016,26.0,tier_2
390,United Kingdom,Business Intelligence,2016,26.0,tier_1
391,United Kingdom,Data Engineering and Data Warehousing,2016,10.0,tier_3
392,United Kingdom,Data Presentation,2016,9.0,tier_1
393,United Kingdom,Database Management and Software,2016,26.0,tier_3
394,United Kingdom,Perl/Python/Ruby,2016,6.0,tier_2
395,United Kingdom,Statistical Analysis and Data Mining,2016,1.0,tier_2
396,United Kingdom,Storage Systems and Management,2016,26.0,tier_3
397,United Kingdom,User Interface Design,2016,26.0,tier_1
398,United Kingdom,Web Architecture and Development Framework,2016,4.0,tier_1
399,United States,Algorithm Design,2016,9.0,tier_2
400,United States,Business Intelligence,2016,26.0,tier_1
401,United States,Cloud and Distributed Computing,2016,1.0,tier_1
402,United States,Data Engineering and Data Warehousing,2016,26.0,tier_3
403,United States,Perl/Python/Ruby,2016,26.0,tier_2
404,United States,Statistical Analysis and Data Mining,2016,2.0,tier_2
405,United States,Storage Systems and Management,2016,4.0,tier_3
406,United States,User Interface Design,2016,5.0,tier_1
407,United States,Web Architecture and Development Framework,2016,8.0,tier_1
